province,district,constituency_name,pop,no_of_polling_stations,male,female,total,na_name,obtained_votes,candidate_name,party_affilation,party,year
Punjab,Gujranwala,Ranjanpur,661562,198,156021,119305,275326,NA-195,89829,Sardar Riaz Mehmood Khan Mazari,PTI,PTI,2018
Punjab,Gujranwala,Bhawalpur,761252,306,202549,155272,357821,NA-172,106494,Tariq Bashir Cheema,PML-Q,PML-Q,2018
Punjab,Chakwal,Chakwal-I,746621,457,281361,269650,551011,NA-64,155598,Zulfiqar Ali Khan,PTI,PTI,2018
Punjab,Gujranwala,Faisalabad,777621,363,232884,182612,415496,NA-106,106137,Rana Sanaullah Khan,PMLN,PMLN,2018
Punjab,Gujranwala,Faisalabad,808829,394,238705,195878,434583,NA-108,112182,Farrukh Habib,PTI,PTI,2018
Punjab,Gujranwala,Shikhupura,885990,324,245253,173384,418637,NA-119,110424,Rahat Aman Ullah Bhatti,PTI,PTI,2018
Punjab,Gujranwala,Lahore,804774,195,155862,114921,270783,NA-134,76298,Rana Mubashir Iqbal,PMLN,PMLN,2018
Punjab,Gujranwala,Muzaffargarh,725317,280,196746,154435,351181,NA-185,94672,Syed Basit Ahmed Sultan,IND,IND,2018
Punjab,Gujranwala,Shikhupura,812536,347,274401,194377,468778,NA-122,96113,Muhammad Arfan Dogar,PMLN,PMLN,2018
Sindh,Gujranwala,Jacobabad,1006297,472,260109,225955,486064,NA-196,92307,Muhammad Mian Soomro,PTI,PTI,2018
Punjab,Rawalpindi,Rawalpindi-VI,706786,353,242330,210600,452930,NA-62,119362,Sheikh Rashid Ahmad,AML,AML,2018
Punjab,Gujranwala,Nankana Sahib,674036,316,212728,158987,371715,NA-118,63918,Ijaz Ahmad Shah,PTI,PTI,2018
Punjab,Gujranwala,Lahore,772182,242,198699,165514,364213,NA-131,84531,Imran Ahmed Khan,PTI,PTI,2018
Punjab,Gujranwala,Okara,770583,341,247018,184930,431948,NA-144,118716,Muhammad Moin Khan Watto,PMLN,PMLN,2018
Punjab,Gujranwala,Lahore,766549,248,197264,148499,345763,NA-128,98205,Sheikh Rohail Asgher,PMLN,PMLN,2018
Punjab,Gujranwala,Faisalabad,781643,382,243399,202060,445459,NA-110,114168,Raja Riaz Ahmed,PTI,PTI,2018
Punjab,Gujranwala,Faisalabad,790908,382,247572,187359,434931,NA-103,77539,Ali Gohar Khan,PMLN,PMLN,2018
Punjab,Gujranwala,Faisalabad,760715,398,273686,220132,493818,NA-104,95274,Ch. Muhammad Shahbaz Babar,PMLN,PMLN,2018
Punjab,Gujranwala,Bahawalnagar,757169,289,217882,161535,379417,NA-167,91540,Alam Dad Laleka,PMLN,PMLN,2018
Punjab,Gujranwala,Lahore,762811,279,221756,183046,404802,NA-129,103091,Sardar Ayaz Sadiq,PMLN,PMLN,2018
Punjab,Gujranwala,Hafizabad-I,1156957,593,384762,299685,684447,NA-87,165835,Chaudhry Shaukat Ali Bhatti,PTI,PTI,2018
Punjab,Gujranwala,Sargodha -III,753035,321,225700,195423,421123,NA-90,94053,Chaudhry Hamid Hameed,PMLN,PMLN,2018
Punjab,Gujranwala,Toba Tek Singh,743099,424,258727,211136,469863,NA-112,125679,Muhammad Junaid Anwar Chaudhry,PMLN,PMLN,2018
Punjab,Gujranwala,Pakpattan,911655,446,280050,221200,501250,NA-145,118686,Ahmed Raza Khan Manika,PMLN,PMLN,2018
Punjab,Gujranwala,Sargodha -II,738938,326,247523,196091,443614,NA-89,116275,Mohsin Shahnawaz Ranjha,PMLN,PMLN,2018
Punjab,Gujranwala,Toba Tek Singh,694809,395,244711,194650,439361,NA-111,110892,Chaudhry Khalid Javed,PMLN,PMLN,2018
Punjab,Gujranwala,Faisalabad,791013,363,238491,194911,433402,NA-107,126651,Khurram Shehzad,PTI,PTI,2018
Punjab,Gujranwala,Rahim Yar Khan,818717,292,221976,164796,386772,NA-180,72062,Syed Murtaza Mehmood,PPP,PPP,2018
FATA,Khyber Agency,Khyber Agency-V,516103,199,150956,114261,265217,NA-44,12580,Mohammad Iqbal,PTI,PTI,2018
Punjab,Gujranwala,Gujranwala-V,837017,294,260014,192834,452848,NA-83,139314,Zulfiqar Ahmad,PMLN,PMLN,2018
Sindh,Gujranwala,Badin,881606,333,203195,168684,371879,NA-230,94988,Dr Fehmida Mirza,GDA,GDA,2018
Punjab,Gujranwala,Faisalabad,809773,376,244178,196241,440419,NA-105,77920,Raza Nasrullah,PTI,PTI,2018
Sindh,Gujranwala,Tharparkar,810712,369,184583,147289,331872,NA-222,109056,Mahesh Kumar Malani,PPP,PPP,2018
Sindh,Gujranwala,Umerkot,1073146,410,248467,213400,461867,NA-220,164047,Nawab Yousaf Talpur,PPP,PPP,2018
Sindh,Gujranwala,Khairpur,789651,295,193299,162944,356243,NA-208,107978,Nafisa Shah,PPP,PPP,2018
Sindh,Gujranwala,Kashmore,1089169,396,254527,193542,448069,NA-197,84940,Ehsan-Ur-Rehman Mazari,PPP,PPP,2018
Sindh,Gujranwala,Shikarpur,643296,223,164141,141267,305408,NA-198,64283,Abid Hussain Bahyo,PPP,PPP,2018
Sindh,Gujranwala,Kamber Shahdakot,679497,267,179257,145147,324402,NA-202,72161,Aftab Shahban Mirani,PPP,PPP,2018
Sindh,Gujranwala,Ghotki,795754,289,191841,147858,339699,NA-205,72082,Ali Muhammad Khan Mahar,IND,IND,2018
Khyber Pakhtunkhwa,Peshawar,Peshwar-V,865609,259,223574,166637,390211,NA-31,87975,Shaukat Ali,PTI,PTI,2018
Sindh,Gujranwala,Karachi South,908327,244,305940,230748,536688,NA-246,53029,Abdul Shakoor Shaad,PTI,PTI,2018
Sindh,Gujranwala,Sukkur,756492,330,203035,170981,374016,NA-207,70870,Nauman Islam Shaikh,PPP,PPP,2018
Sindh,Gujranwala,Korangi,853973,292,271160,204363,475523,NA-240,61165,Iqbal Muhammad Ali Khan,MQM-P,MQM-P,2018
Sindh,Gujranwala,Karachi South,876957,240,294713,249251,543964,NA-247,90907,Dr Arif Ur Rehman Alvi,PTI,PTI,2018
Sindh,Gujranwala,Sanghar,667156,256,161260,130675,291935,NA-216,80770,Shazia Marri,PPP,PPP,2018
Sindh,Gujranwala,Korangi,859019,315,286149,242583,528732,NA-239,69161,Muhammad Akram Cheema,PTI,PTI,2018
Balochistan,Gujranwala,Quetta,728296,156,107146,68819,175965,NA-264,14888,Molvi Asmatullah,MMA,MMA,2018
FATA,Kurram Agency,Kurram Agency-VI,470870,131,95757,69611,165368,NA-45,16255,Haji Munir Khan Orakzai,MMA,MMA,2018
Sindh,Gujranwala,Karachi Central,745685,268,230826,173227,404053,NA-253,52426,Usama Qadri,MQM-P,MQM-P,2018
Sindh,Gujranwala,Tharparkar,838949,288,135228,107230,242458,NA-221,80047,Pir Noor Muhammad Shah Jeelani,PPP,PPP,2018
Sindh,Gujranwala,Mirpurkhas,763193,318,193359,157245,350604,NA-218,75872,Ali Nawaz Shah,IND,IND,2018
Khyber Pakhtunkhwa,Mansehra,Mansehra-I,897373,473,296793,230181,526974,NA-13,108950,Saleh Muhammad,IND,IND,2018
Sindh,Gujranwala,Sanghar,696316,262,170983,142954,313937,NA-215,77890,Naveed Dero,PPP,PPP,2018
Sindh,Gujranwala,Matiari,769349,361,182894,160012,342906,NA-223,110176,Makhdoom Jamil Uz Zaman,PPP,PPP,2018
FATA,Khyber Agency,Khyber Agency-IV,466984,182,128574,98053,226627,NA-43,33871,Noor Ul haq Qadri,PTI,PTI,2018
Khyber Pakhtunkhwa,Battagram,Battagram,476612,256,152297,105858,258155,NA-12,35120,Muhammad Nawaz Khan,PTI,PTI,2018
Sindh,Gujranwala,Malir,673678,181,162495,121387,283882,NA-237,33522,Jamil Ahmed Khan,PTI,PTI,2018
Balochistan,Gujranwala,Quetta,797994,330,181583,139348,320931,NA-265,25979,Qasim Khan Suri,PTI,PTI,2018
Sindh,Gujranwala,Karachi West,782776,257,201541,129889,331430,NA-249,35349,Faisal Vawda,PTI,PTI,2018
Sindh,Gujranwala,Sukkur,731411,257,164021,132124,296145,NA-206,84708,Syed Khursheed Ahmed Shah,PPP,PPP,2018
Sindh,Gujranwala,Ghotki,851485,303,207507,159335,366842,NA-204,99889,Khalid Ahmed Khan,PPP,PPP,2018
Sindh,Gujranwala,Khairpur,777870,268,186689,148136,334825,NA-209,95972,Pir Syed Fazal Ali Shah,PPP,PPP,2018
Sindh,Gujranwala,Karachi West,766724,284,239849,165803,405652,NA-251,56888,Syed Amin Ul Haq,MQM-P,MQM-P,2018
Khyber Pakhtunkhwa,Abbottabad,Abbottabad-II,683502,332,194556,165836,360392,NA-16,85763,Ali Khan Jadoon,PTI,PTI,2018
Sindh,Gujranwala,Karachi East,726253,210,221285,186078,407363,NA-244,69480,Ali Haider Zaidi,PTI,PTI,2018
Sindh,Gujranwala,Karachi Central,733427,306,273644,233794,507438,NA-254,75702,Muhammad Aslam Khan,PTI,PTI,2018
Sindh,Gujranwala,Naushero Feroze,823364,332,205002,164529,369531,NA-212,90663,Zulfiqar Ali Behan,PPP,PPP,2018
Sindh,Gujranwala,Shikarpur,588185,223,157327,134237,291564,NA-199,62785,Ghous Bux Mahar,GDA,GDA,2018
Khyber Pakhtunkhwa,Swat,Sawat -II,783040,269,227864,173260,401124,NA-3,68280,Saleem Rehman,PTI,PTI,2018
Sindh,Gujranwala,Karachi West,758107,155,133060,85982,219042,NA-252,21065,Aftab Jehangir,PTI,PTI,2018
Sindh,Gujranwala,Kamber Shahdakot,661545,273,175805,137836,313641,NA-203,80060,Mir Amir Ali Khan Magsi,PPP,PPP,2018
FATA,South Waziristan Agency,South Waziristan Agency-IX,352988,98,101007,44865,145872,NA-50,23589,Muhammad Ali,IND,IND,2018
Sindh,Gujranwala,Hyderabad,707702,328,210375,161651,372026,NA-227,52056,Salahuddin Shaikh,MQM-P,MQM-P,2018
Khyber Pakhtunkhwa,Upper Dir,Upper Dir,946421,377,268134,179280,447414,NA-5,66654,Sahibzada Sibghatullah,PTI,PTI,2018
Sindh,Gujranwala,Sanghar,693585,283,187808,157634,345442,NA-217,103232,Roshan Uddin Junejo,PPP,PPP,2018
Sindh,Gujranwala,Karachi West,821992,275,242413,157262,399675,NA-250,36060,Attaullah,PTI,PTI,2018
Sindh,Gujranwala,Jamshoro,993142,451,235433,191036,426469,NA-233,133500,Sikandar Ali Rahoupoto,PPP,PPP,2018
Sindh,Gujranwala,Shaheed Benazirbad,819024,387,230117,188658,418775,NA-213,101370,Asif Ali Zardari,PPP,PPP,2018
Sindh,Gujranwala,Dadu,794937,329,207212,166377,373589,NA-234,95891,Irfan Ali Laghari,PPP,PPP,2018
PATA,FR-XII,FR-XII,357687,160,100623,66009,166632,NA-51,21962,Abdul Shakoor,MMA,MMA,2018
Sindh,Gujranwala,Larkana,768106,359,201991,165125,367116,NA-201,97107,Khursheed Ahmed Junejo,PPP,PPP,2018
Sindh,Gujranwala,Naushero Feroze,789009,349,213390,173914,387304,NA-211,110967,Syed Abrar Ali Shah,PPP,PPP,2018
Sindh,Gujranwala,Dadu,755329,329,199231,160531,359762,NA-235,81215,Rafiq Ahmed Jamali,PPP,PPP,2018
Sindh,Gujranwala,Thatta,979817,397,242133,198196,440329,NA-232,152700,Shams Ul Nisa,PPP,PPP,2018
Khyber Pakhtunkhwa,Swabi,Sawabi-I,783155,375,252505,196507,449012,NA-18,79428,Asad Qaiser,PTI,PTI,2018
Khyber Pakhtunkhwa,Charsadda,Charsadda-II,804194,353,260525,202915,463440,NA-24,83596,Fazal Muhammad Khan,PTI,PTI,2018
FATA,Mohammad Agency,Mohammad Agency-III,363532,155,140558,96595,237153,NA-42,22742,Sajid Khan,PTI,PTI,2018
Khyber Pakhtunkhwa,Charsadda,Charsadda-I,812004,327,240602,176784,417386,NA-23,61911,Anwar Taj,PTI,PTI,2018
Sindh,Gujranwala,Sujawal,781967,327,192272,156592,348864,NA-231,130000,Syed Ayaz Ali Shah Sheerazi,PPP,PPP,2018
Sindh,Gujranwala,Tando Muhammad Khan,677228,283,150984,123957,274941,NA-228,76077,Syed Naveed Qamar,PPP,PPP,2018
Khyber Pakhtunkhwa,Mardan,Mardan-III,784053,321,227868,161820,389688,NA-22,58652,Ali Muhammad Khan,PTI,PTI,2018
Sindh,Gujranwala,Karachi Central,738115,282,247893,215556,463449,NA-256,89857,Muhammad Najeeb Haroon,PTI,PTI,2018
Sindh,Gujranwala,Karachi East,695588,216,211168,190665,401833,NA-243,91373,Imran Khan Niazi,PTI,PTI,2018
Khyber Pakhtunkhwa,Tank,Tank,391885,164,103498,77374,180872,NA-37,28563,Asad Mehmood,MMA,MMA,2018
Khyber Pakhtunkhwa,Lower Dir,Lower Dir-1,721322,287,205669,145576,351245,NA-6,63717,Mehboob Shah,PTI,PTI,2018
FATA,Bajaur Agency,Bajaur Agency-I,360351,175,148400,107179,255579,NA-40,34683,Gul Dad Khan,PTI,PTI,2018
Khyber Pakhtunkhwa,Kohat,Kohat,993874,442,284678,222021,506699,NA-32,82952,Shehryar Khan Afridi,PTI,PTI,2018
Khyber Pakhtunkhwa,Haripur,Haripur,1001031,601,354130,303518,657648,NA-17,173125,Omar Ayub,PTI,PTI,2018
Sindh,Gujranwala,Khairpur,838002,317,210724,173342,384066,NA-210,90830,Syed Javed Ali Shah Jillani,PPP,PPP,2018
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan-II,808878,312,188227,140201,328428,NA-39,79672,Muhammad Yaqoob Sheikh,PTI,PTI,2018
Sindh,Gujranwala,Shaheed Benazirbad,793823,385,194371,162467,356838,NA-214,110921,Syed Ghulam Mustafa Shah,PPP,PPP,2018
Sindh,Gujranwala,Korangi,819223,177,186181,128269,314450,NA-241,26714,Faheem Khan,PTI,PTI,2018
Khyber Pakhtunkhwa,Mardan,Mardan-I,794206,353,248987,181551,430538,NA-20,78188,Mujahid Ali,PTI,PTI,2018
FATA,Bajaur Agency,Bajaur Agency-II,369501,161,140558,96595,237153,NA-41,22767,Gul Zafar Khan,PTI,PTI,2018
Sindh,Gujranwala,Hyderabad,727008,287,207364,166718,374082,NA-226,46707,Sabir Hussain Qaimkhani,MQM-P,MQM-P,2018
Khyber Pakhtunkhwa,Mardan,Mardan-II,794802,357,243017,176696,419713,NA-21,79151,Ameer Haider Khan Hoti,ANP,ANP,2018
Khyber Pakhtunkhwa,Mansehra and Torghar,Mansehra-Torghar,830482,504,285920,225011,510931,NA-14,75220,Muhammad Sajjad,PMLN,PMLN,2018
Khyber Pakhtunkhwa,Nowshera,Nowshera-I,748777,281,211463,167478,378941,NA-25,82208,Pervez Khan Khattak,PTI,PTI,2018
Khyber Pakhtunkhwa,Peshawar,Peshwar-III,868205,214,189395,131006,320401,NA-29,49762,Nasir Khan Mosa Zai,PTI,PTI,2018
Khyber Pakhtunkhwa,Abbottabad,Abbottabad-I,649410,449,262666,215670,478336,NA-15,95348,Murtaza Javed Abbasi,PMLN,PMLN,2018
FATA,Kurram Agency,Kurram Agency-VII,619553,115,97487,75010,172497,NA-46,21506,Sajid Hussain Turi,PPP,PPP,2018
Sindh,Gujranwala,Tando Allahyar,836887,317,195947,169235,365182,NA-224,97451,Zulfiqar Bachani,PPP,PPP,2018
Khyber Pakhtunkhwa,Dera Ismail Khan,Dera Ismail Khan-I,818254,353,217293,174264,391557,NA-38,81032,Ali Ameen Khan Gandapur,PTI,PTI,2018
FATA,North Agency,North Agency-IX,543254,161,196668,77537,274205,NA-48,16526,Mohsin Javed,IND,IND,2018
Khyber Pakhtunkhwa,Swabi,Sawabi-II,841461,387,262128,201493,463621,NA-19,84489,Eng.Usman Khan Trakai,PTI,PTI,2018
Khyber Pakhtunkhwa,Swat,Sawat -1,735019,238,218821,164153,382974,NA-2,61834,Haider Ali Khan,PTI,PTI,2018
Khyber Pakhtunkhwa,Shangla,Shangla,757810,259,212294,162049,374343,NA-10,35178,Ibadullah Khan,PMLN,PMLN,2018
Khyber Pakhtunkhwa,"Upper and lower Kohistan, Pallas",Kohistan - Lower Kohistan - Kolai Pallas Kohistan,784711,185,89171,65449,154620,NA-11,16480,Afreen Khan,MMA,MMA,2018
Khyber Pakhtunkhwa,Bannu,Bannu,1167892,435,328817,250055,578872,NA-35,113843,Imran Ahmad Khan Niazi,PTI,PTI,2018
FATA,South Waziristan Agency,South Waziristan Agency-X,321077,137,97086,81207,178293,NA-49,7778,Muhammad Jamal Uddin,MMA,MMA,2018
Sindh,Gujranwala,Hyderabad,766351,235,161633,141845,303478,NA-225,82028,Syed Hussain Tarique,PPP,PPP,2018
Sindh,Gujranwala,Badin,922910,318,208708,175442,384150,NA-229,96978,Mir Ghulam Ali,PPP,PPP,2018
Khyber Pakhtunkhwa,Lakki Marwat,Lakki Marwat,876182,394,236162,185062,421224,NA-36,91396,Muhammad Anwar Khan,MMA,MMA,2018
Khyber Pakhtunkhwa,Peshawar,Peshwar-IV,869585,217,173754,135137,308891,NA-30,73885,Sher Ali Arbab,PTI,PTI,2018
Sindh,Gujranwala,Mirpurkhas,742683,320,189545,156189,345734,NA-219,105952,Mir Munwar Ali Talpur,PPP,PPP,2018
Khyber Pakhtunkhwa,Nowshera,Nowshera-II,769763,291,212839,164469,377308,NA-26,90298,Imran Khattak,PTI,PTI,2018
Khyber Pakhtunkhwa,Karak,Karak,706299,370,225953,178505,404458,NA-34,77270,Shahid Ahmad Khattak,PTI,PTI,2018
Balochistan,Gujranwala,Killa Abdullah,757578,222,148751,83272,232023,NA-263,38097,Sallah Uddin,MMA,MMA,2018
Balochistan,Gujranwala,Panjgur/Washuk/Awaran,614602,251,132004,99581,231585,NA-270,18728,Ehsan Ullah Riki,BAP,BAP,2018
Balochistan,Gujranwala,Killa Saifullah/Zhob/Sherani,806474,324,153977,114667,268644,NA-257,44505,Moulana Abdul Wasay,MMA,MMA,2018
Khyber Pakhtunkhwa,Hangu,Hangu,518798,180,160297,115650,275947,NA-33,28882,Khial Zaman,PTI,PTI,2018
Balochistan,Gujranwala,Loralai/musakhail/Ziarat/Dukki/Harnai,821856,393,313727,133900,447627,NA-258,43164,Sardar Muhammad Israr Tareen,BAP,BAP,2018
Khyber Pakhtunkhwa,Peshawar,Peshwar-II,851544,246,196071,140483,336554,NA-28,74525,Arbab Amir Ayub,PTI,PTI,2018
Balochistan,Gujranwala,Dera Bugti/Kohlu/Sibi/Lehri,950056,366,214625,142119,356744,NA-259,22787,Nawabzada Shahzain Bugti,JWP,JWP,2018
Balochistan,Gujranwala,Quetta,749409,193,110795,76744,187539,NA-266,20056,Agha Hassan Baloch,BNP,BNP,2018
Balochistan,Gujranwala,Lasbela/Gwadar,837806,365,203467,153412,356879,NA-272,69016,Muhammad Aslam Bhotani,IND,IND,2018
Balochistan,Gujranwala,Pishin,736481,290,145881,108485,254366,NA-262,50497,Kamal Uddin,MMA,MMA,2018
Balochistan,Gujranwala,Nasirabad/kachhi/jhal Magsi,878864,387,209227,156635,365862,NA-260,53528,Khalid Hussain Magsi,BAP,BAP,2018
Balochistan,Gujranwala,Jafrabad/Sohbatpur,714351,290,166590,144192,310782,NA-261,45406,Mir Khan Muhammad Jamali,PTI,PTI,2018
Balochistan,Gujranwala,Mastung/Kalat/Shaheed Sikandarabad,678693,226,139233,99928,239161,NA-267,26711,Syed Mehmood Shah,MMA,MMA,2018
Federal Capital,ICT-III,ICT-III,630152,216,116285,102510,218795,NA-54,57086,Asad Umar,PTI,PTI,2018
Federal Capital,ICT -II,ICT -II,670683,325,166024,146119,312143,NA-53,93110,Imran Ahmad Khan Niazi,PTI,PTI,2018
Federal Capital,ICT -I,ICT -I,700744,245,125183,109325,234508,NA-52,64881,Raja Khurram Shahzad Nawaz,PTI,PTI,2018
